#
#  10403s_rastcyc 1.0.2.1 Genes link table generated on Wed Oct 28, 2015
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
LMRG_00400		LMRG_00400	
LMRG_01772		LMRG_01772	
LMRG_02370		LMRG_02370	
LMRG_00800		LMRG_00800	
LMRG_01896		LMRG_01896	
LMRG_02037		LMRG_02037	
LMRG_02497		LMRG_02497	
LMRG_02725		LMRG_02725	
LMRG_01342		LMRG_01342	
LMRG_00016		LMRG_00016	
LMRG_01396		LMRG_01396	
LMRG_01295		LMRG_01295	
LMRG_01923		LMRG_01923	
LMRG_02713		LMRG_02713	
LMRG_00684		LMRG_00684	
LMRG_01943		LMRG_01943	
LMRG_00927		grpE	
LMRG_01450		LMRG_01450	
LMRG_01572		LMRG_01572	
LMRG_02985		LMRG_02985	
LMRG_02158		LMRG_02158	
LMRG_02571		LMRG_02571	
LMRG_01329		LMRG_01329	
LMRG_01441		LMRG_01441	
LMRG_01893		LMRG_01893	
LMRG_01487		LMRG_01487	
LMRG_00789		LMRG_00789	
LMRG_02408		LMRG_02408	
LMRG_00168		LMRG_00168	
LMRG_01143		LMRG_01143	
LMRG_01892		LMRG_01892	
LMRG_02093		LMRG_02093	
LMRG_01623		LMRG_01623	
LMRG_02716		LMRG_02716	
LMRG_02122		LMRG_02122	
LMRG_00335		LMRG_00335	
LMRG_00566		LMRG_00566	
LMRG_02659		LMRG_02659	
LMRG_00280		LMRG_00280	
LMRG_01067		LMRG_01067	
LMRG_01334		LMRG_01334	
LMRG_02536		LMRG_02536	
LMRG_01139		LMRG_01139	
LMRG_00754		LMRG_00754	
LMRG_00944		LMRG_00944	
LMRG_02253		LMRG_02253	
LMRG_02081		LMRG_02081	
LMRG_01181		LMRG_01181	
LMRG_00098		LMRG_00098	
LMRG_00781		LMRG_00781	
LMRG_01731		LMRG_01731	
